query,intent,target,parameter,modifier,conditions
Check the battery_bank efficiency.,check,battery_bank,efficiency,overload,during_peak_hours
Predict anomaly in solar_panel efficiency.,predict,solar_panel,efficiency,low,during_peak_hours
Predict solar_panel — irradiance seems sudden_drop.,predict,solar_panel,irradiance,sudden_drop,post_storm
Check the sudden_drop temperature in the pv_array.,check,pv_array,temperature,sudden_drop,none
Reset anomaly in battery_bank current.,reset,battery_bank,current,low,under_cloud_cover
Monitor why the charge_controller output_power is overload.,monitor,charge_controller,output_power,overload,at_night
Log why the microgrid_controller frequency is sudden_drop.,log,microgrid_controller,frequency,sudden_drop,under_cloud_cover
Check sensor discrepancy: microgrid_controller voltage.,check,microgrid_controller,voltage,intermittent,under_cloud_cover
Reset anomaly in inverter irradiance.,reset,inverter,irradiance,unstable,at_night
Monitor the pv_array load_balance.,monitor,pv_array,load_balance,sudden_drop,post_storm
Predict anomaly in solar_panel state_of_charge.,predict,solar_panel,state_of_charge,overload,heatwave
Diagnose voltage readings on the battery_bank.,diagnose,battery_bank,voltage,none,post_storm
Reset the pv_array irradiance.,reset,pv_array,irradiance,high,at_night
Optimize the microgrid_controller frequency.,optimize,microgrid_controller,frequency,sudden_drop,under_cloud_cover
Predict sensor discrepancy: battery_bank temperature.,predict,battery_bank,temperature,low,at_night
Monitor anomaly in smart_meter load_balance.,monitor,smart_meter,load_balance,intermittent,during_peak_hours
Optimize anomaly in grid_tie_inverter state_of_charge.,optimize,grid_tie_inverter,state_of_charge,intermittent,none
Diagnose the intermittent fault_code in the pv_array.,diagnose,pv_array,fault_code,intermittent,at_night
Inspect anomaly in microgrid_controller irradiance.,inspect,microgrid_controller,irradiance,critical,at_night
Log sensor discrepancy: pv_array efficiency.,log,pv_array,efficiency,unstable,under_cloud_cover
Predict why the microgrid_controller state_of_charge is intermittent.,predict,microgrid_controller,state_of_charge,intermittent,post_storm
Optimize irradiance readings on the pv_array.,optimize,pv_array,irradiance,low,during_peak_hours
Inspect the none efficiency in the solar_panel.,inspect,solar_panel,efficiency,none,during_peak_hours
Diagnose efficiency readings on the grid_tie_inverter.,diagnose,grid_tie_inverter,efficiency,critical,heatwave
Predict the critical load_balance in the pv_array.,predict,pv_array,load_balance,critical,heatwave
Inspect anomaly in microgrid_controller voltage.,inspect,microgrid_controller,voltage,intermittent,during_peak_hours
Predict sensor discrepancy: solar_panel frequency.,predict,solar_panel,frequency,none,during_peak_hours
Optimize why the solar_panel fault_code is sudden_drop.,optimize,solar_panel,fault_code,sudden_drop,heatwave
Check issue detected in microgrid_controller output_power.,check,microgrid_controller,output_power,intermittent,heatwave
Log the sudden_drop current in the grid_tie_inverter.,log,grid_tie_inverter,current,sudden_drop,heatwave
Log current readings on the inverter.,log,inverter,current,low,under_cloud_cover
Monitor the critical efficiency in the microgrid_controller.,monitor,microgrid_controller,efficiency,critical,post_storm
Predict the unstable voltage in the pv_array.,predict,pv_array,voltage,unstable,none
Reset the inverter fault_code.,reset,inverter,fault_code,none,under_cloud_cover
Reset sensor discrepancy: smart_meter current.,reset,smart_meter,current,intermittent,under_cloud_cover
Predict anomaly in pv_array efficiency.,predict,pv_array,efficiency,intermittent,none
Log state_of_charge readings on the microgrid_controller.,log,microgrid_controller,state_of_charge,high,heatwave
Inspect sensor discrepancy: microgrid_controller irradiance.,inspect,microgrid_controller,irradiance,unstable,under_cloud_cover
Reset anomaly in charge_controller state_of_charge.,reset,charge_controller,state_of_charge,intermittent,at_night
Diagnose battery_bank — temperature seems overload.,diagnose,battery_bank,temperature,overload,under_cloud_cover
Check the unstable state_of_charge in the grid_tie_inverter.,check,grid_tie_inverter,state_of_charge,unstable,post_storm
Monitor pv_array — irradiance seems unstable.,monitor,pv_array,irradiance,unstable,post_storm
Check microgrid_controller — output_power seems intermittent.,check,microgrid_controller,output_power,intermittent,heatwave
Diagnose the high temperature in the solar_panel.,diagnose,solar_panel,temperature,high,none
Reset the solar_panel current.,reset,solar_panel,current,high,none
Monitor the intermittent output_power in the battery_bank.,monitor,battery_bank,output_power,intermittent,heatwave
Inspect state_of_charge readings on the charge_controller.,inspect,charge_controller,state_of_charge,sudden_drop,heatwave
Monitor issue detected in inverter efficiency.,monitor,inverter,efficiency,overload,at_night
Log the low voltage in the microgrid_controller.,log,microgrid_controller,voltage,low,post_storm
Check issue detected in battery_bank frequency.,check,battery_bank,frequency,intermittent,post_storm
Predict the overload fault_code in the inverter.,predict,inverter,fault_code,overload,at_night
Check the critical output_power in the smart_meter.,check,smart_meter,output_power,critical,at_night
Predict the high output_power in the pv_array.,predict,pv_array,output_power,high,none
Reset the sudden_drop frequency in the pv_array.,reset,pv_array,frequency,sudden_drop,post_storm
Reset sensor discrepancy: pv_array frequency.,reset,pv_array,frequency,unstable,at_night
Predict why the pv_array frequency is overload.,predict,pv_array,frequency,overload,during_peak_hours
Inspect why the pv_array irradiance is sudden_drop.,inspect,pv_array,irradiance,sudden_drop,under_cloud_cover
Check why the smart_meter state_of_charge is critical.,check,smart_meter,state_of_charge,critical,none
Reset solar_panel — fault_code seems overload.,reset,solar_panel,fault_code,overload,heatwave
Log issue detected in solar_panel temperature.,log,solar_panel,temperature,intermittent,under_cloud_cover
Check why the charge_controller state_of_charge is unstable.,check,charge_controller,state_of_charge,unstable,none
Monitor issue detected in pv_array temperature.,monitor,pv_array,temperature,none,post_storm
Optimize anomaly in charge_controller temperature.,optimize,charge_controller,temperature,none,heatwave
Reset pv_array — load_balance seems critical.,reset,pv_array,load_balance,critical,under_cloud_cover
Optimize the inverter output_power.,optimize,inverter,output_power,overload,at_night
Optimize why the charge_controller current is intermittent.,optimize,charge_controller,current,intermittent,heatwave
Monitor the solar_panel efficiency.,monitor,solar_panel,efficiency,overload,none
Monitor sensor discrepancy: pv_array load_balance.,monitor,pv_array,load_balance,unstable,under_cloud_cover
Log irradiance readings on the microgrid_controller.,log,microgrid_controller,irradiance,unstable,at_night
Monitor why the grid_tie_inverter voltage is overload.,monitor,grid_tie_inverter,voltage,overload,at_night
Inspect the inverter output_power.,inspect,inverter,output_power,overload,at_night
Predict issue detected in pv_array irradiance.,predict,pv_array,irradiance,sudden_drop,at_night
Predict why the smart_meter temperature is overload.,predict,smart_meter,temperature,overload,none
Check output_power readings on the smart_meter.,check,smart_meter,output_power,overload,heatwave
Predict pv_array — state_of_charge seems sudden_drop.,predict,pv_array,state_of_charge,sudden_drop,none
Log the unstable temperature in the grid_tie_inverter.,log,grid_tie_inverter,temperature,unstable,under_cloud_cover
Predict why the smart_meter fault_code is high.,predict,smart_meter,fault_code,high,none
Optimize anomaly in smart_meter load_balance.,optimize,smart_meter,load_balance,high,post_storm
Predict the overload current in the charge_controller.,predict,charge_controller,current,overload,none
Optimize the battery_bank fault_code.,optimize,battery_bank,fault_code,none,none
Diagnose pv_array — output_power seems intermittent.,diagnose,pv_array,output_power,intermittent,under_cloud_cover
Check current readings on the smart_meter.,check,smart_meter,current,intermittent,post_storm
Predict why the pv_array temperature is low.,predict,pv_array,temperature,low,at_night
Optimize the battery_bank voltage.,optimize,battery_bank,voltage,low,under_cloud_cover
Check anomaly in solar_panel temperature.,check,solar_panel,temperature,critical,none
Monitor sensor discrepancy: solar_panel current.,monitor,solar_panel,current,critical,under_cloud_cover
Diagnose issue detected in battery_bank current.,diagnose,battery_bank,current,intermittent,none
Optimize sensor discrepancy: solar_panel state_of_charge.,optimize,solar_panel,state_of_charge,critical,during_peak_hours
Log current readings on the grid_tie_inverter.,log,grid_tie_inverter,current,overload,at_night
Reset sensor discrepancy: grid_tie_inverter temperature.,reset,grid_tie_inverter,temperature,none,none
Check smart_meter — frequency seems high.,check,smart_meter,frequency,high,during_peak_hours
Predict the high fault_code in the charge_controller.,predict,charge_controller,fault_code,high,under_cloud_cover
Check the pv_array fault_code.,check,pv_array,fault_code,low,during_peak_hours
Diagnose the sudden_drop current in the grid_tie_inverter.,diagnose,grid_tie_inverter,current,sudden_drop,at_night
Inspect output_power readings on the charge_controller.,inspect,charge_controller,output_power,sudden_drop,under_cloud_cover
Reset why the grid_tie_inverter load_balance is critical.,reset,grid_tie_inverter,load_balance,critical,post_storm
Monitor smart_meter — load_balance seems none.,monitor,smart_meter,load_balance,none,post_storm
Log sensor discrepancy: charge_controller efficiency.,log,charge_controller,efficiency,overload,during_peak_hours
Monitor sensor discrepancy: inverter fault_code.,monitor,inverter,fault_code,unstable,under_cloud_cover
Monitor irradiance readings on the charge_controller.,monitor,charge_controller,irradiance,overload,under_cloud_cover
Check sensor discrepancy: inverter output_power.,check,inverter,output_power,critical,post_storm
Check the overload irradiance in the charge_controller.,check,charge_controller,irradiance,overload,heatwave
Log state_of_charge readings on the charge_controller.,log,charge_controller,state_of_charge,none,under_cloud_cover
Inspect anomaly in charge_controller frequency.,inspect,charge_controller,frequency,intermittent,at_night
Monitor sensor discrepancy: solar_panel output_power.,monitor,solar_panel,output_power,unstable,during_peak_hours
Check current readings on the smart_meter.,check,smart_meter,current,overload,none
Monitor issue detected in smart_meter efficiency.,monitor,smart_meter,efficiency,low,heatwave
Predict why the smart_meter current is unstable.,predict,smart_meter,current,unstable,none
Predict battery_bank — efficiency seems high.,predict,battery_bank,efficiency,high,none
Reset anomaly in microgrid_controller voltage.,reset,microgrid_controller,voltage,unstable,during_peak_hours
Check temperature readings on the smart_meter.,check,smart_meter,temperature,critical,during_peak_hours
Check smart_meter — temperature seems none.,check,smart_meter,temperature,none,under_cloud_cover
